id,submission_time,vote_number,question_id,message,image
1,1493398154,4,1,You need to use brackets: my_list = [],
2,1493088154,35,1,Look it up in the Python docs,
93a4e86f-2214-4fa9-9863-1c06f90b2b83,1647962710,0,1,szia,
c47879da-fb1c-43de-b5f2-830a40acdc3b,1647963219,0,a748d9a9-aad1-4b13-a535-0e9d7057453a,nem mert te tecel,
a020167a-d5c3-45ca-9423-810f65c5d9a6,1647963590,0,a748d9a9-aad1-4b13-a535-0e9d7057453a,Nem!!!!,
6f8fda00-96ae-4732-b4a1-528303fb9437,1647963687,0,a748d9a9-aad1-4b13-a535-0e9d7057453a,Szia,
a097a032-c273-4819-b2de-727d36c05aa3,1647963938,0,2,test,
d385d261-83a8-4c1c-b73e-10b1866da3bb,1647960428,0,0eea5173-1695-478f-a5fe-7ebb3d091d9a,poijpoij,
0270d7a2-8762-46a9-9b3d-f427db22e2a6,1648027690,0,1aa280b5-a1f0-4804-b93b-00311de600a6,nekem is o,images/klan.png
b9409826-ae69-4932-9824-6092166f9965,1648032310,0,1,őopőopkpőopőoipoő,images/klan.png
3459e35f-7603-4e0b-a767-875cfe9177dc,1648032920,0,2f2c5444-1b50-4419-ad34-352f34b67175,igen,images/klan.png
89471ef4-cfe2-43d3-954a-b8e44ad99c25,1648040000,0,4e96f29b-c58b-4d6f-9fb9-b794f0bac7b3,senki se tudja,
